"","pop_brk","alert_lab","alert_type","alert_stringency","impact_mean","sd_impact","eff_mean","sd_eff","ppv","n_alerts","missed_prop","n_outbreaks","delay_mean","sd_delay","std_impact","std_eff","std_ppv","std_missed","std_delay","util_score"
"32","< 50k","2-week","trend","4",103.8,268.8,202.3,2835.2,0.1,604,0,43,-3.7,9.4,-0.8,-0.6,-0.8,0.5,1.6,-0.1
"33","[50k, 500k)","≥ 10 weekly","case","3",230.6,474.1,1.4,3,0.2,1068,0,278,2.7,3.4,-0.3,-0.3,-0.3,0.7,0,-0.2
"34","[50k, 500k)","≥ .5 per 10K","rate","2",222.1,444.3,1.6,3.2,0.2,1106,0,278,2.6,3.7,-0.4,-0.2,-0.3,0.7,0,-0.2
"35","< 50k","≥ 5 per 10K","rate","6",173.6,316.9,574.7,5038,0.2,165,0,43,2.7,2.9,-0.3,0.5,-0.3,0.4,-0.6,-0.3
"36","≥ 500k","≥ .5 per 10K","rate","2",1474.4,2213.8,1.2,2.3,0.6,168,0.4,207,4.9,4.9,0.1,0.1,0.4,-0.3,-0.6,-0.3
"37","≥ 500k","≥ 10 weekly","case","3",1141.9,2222.4,0.7,1.7,0.4,458,0,207,-0.1,7.4,-0.5,-0.5,-0.5,0.8,0.4,-0.3
"38","≥ 500k","≥ 1.5 per 10K","rate","4",1581.3,2213.9,1.8,2.8,0.7,70,0.7,207,7.2,6.7,0.3,0.8,0.9,-1.2,-1.1,-0.3
"39","≥ 500k","≥ 2.5 per 10K","rate","5",1732.5,2707.4,2.4,3.7,0.6,31,0.9,207,7.7,8.5,0.5,1.5,0.4,-1.6,-1.1,-0.3
"40","< 50k","≥ 5 total","cum case","1",111.5,288.1,220.9,3198.8,0.1,504,0,43,-2.6,6,-0.8,-0.6,-0.7,0.5,1.2,-0.4
"41","≥ 500k","≥ 1 per 10K","rate","3",1511.1,2107.5,1.5,2.6,0.7,95,0.6,207,6.6,6.4,0.2,0.5,0.7,-0.9,-0.9,-0.4
"42","< 50k","≥ 10 total","cum case","2",128.9,317.4,278.8,3625.2,0.1,392,0,43,-1,3.3,-0.6,-0.4,-0.7,0.5,0.7,-0.5
"43","≥ 500k","≥ 5 weekly","case","2",984.9,2071.2,0.6,1.6,0.4,544,0,207,-1.2,7.9,-0.7,-0.6,-0.7,0.8,0.6,-0.6
"44","< 50k","≥ 2.5 per 10K","rate","5",150.9,334.1,388.1,4122.2,0.1,247,0,43,1.3,4,-0.5,0,-0.5,0.5,-0.1,-0.6
"45","≥ 500k","≥ 25 total","cum case","3",874.4,1964.2,0.6,1.6,0.3,648,0,207,-3.8,10,-0.9,-0.7,-1,0.8,1.2,-0.6
"46","< 50k","≥ 5 weekly","case","2",153.1,300.9,442.3,4510.9,0.1,206,0,43,2.1,2,-0.4,0.1,-0.4,0.5,-0.4,-0.6
"47","≥ 500k","≥ .25 per 10K","rate","1",1283.4,2175.2,1,2,0.5,250,0.2,207,4.1,6,-0.2,-0.2,0,0.2,-0.4,-0.6
"48","< 50k","≥ .5 per 10K","rate","2",113.4,277.3,248.5,3291.8,0.1,388,0,43,-1.3,9.6,-0.8,-0.5,-0.7,0.5,0.8,-0.7
"49","[50k, 500k)","≥ .25 per 10K","rate","1",193.3,428.6,1.3,2.9,0.2,1480,0,278,1.4,5,-0.6,-0.5,-0.7,0.7,0.4,-0.7
"50","[50k, 500k)","≥ 25 total","cum case","3",184.1,437.6,1.2,2.8,0.2,1895,0,278,0.2,3.6,-0.7,-0.7,-0.8,0.7,0.8,-0.7
"51","≥ 500k","≥ 5 total","cum case","1",727.7,1824.6,0.5,1.5,0.3,843,0,207,-7.1,12.3,-1.2,-0.8,-1.3,0.8,1.8,-0.7
"52","< 50k","≥ 100 weekly","case","6",439.6,479.9,39.7,62.3,0.5,15,0.7,43,4.3,3.1,1.8,-1.1,1.5,-1.8,-1.1,-0.7
"53","[50k, 500k)","≥ 5 weekly","case","2",197.2,432.9,1.2,2.8,0.2,1479,0,278,1.7,3.2,-0.6,-0.6,-0.6,0.7,0.3,-0.8
"54","≥ 500k","≥ 10 total","cum case","2",786.9,1884.4,0.5,1.5,0.3,764,0,207,-5.7,11,-1.1,-0.8,-1.2,0.8,1.5,-0.8
"55","[50k, 500k)","≥ 10 total","cum case","2",150.5,385.9,1,2.5,0.1,2677,0,278,-2.2,7.8,-1,-0.9,-1.1,0.7,1.5,-0.8
"56","< 50k","≥ 1.5 per 10K","rate","4",132.6,307.4,318.5,3729.5,0.1,302,0,43,0.6,4.3,-0.6,-0.3,-0.6,0.5,0.1,-0.9
"57","≥ 500k","≥ 2 weekly","case","1",869.4,1944.9,0.5,1.5,0.3,623,0,207,-2.6,10.1,-0.9,-0.7,-1,0.8,0.9,-0.9
"58","< 50k","≥ .25 per 10K","rate","1",105.5,266.2,226.9,3145.6,0.1,425,0,43,-1.4,9.6,-0.8,-0.6,-0.8,0.5,0.8,-0.9
"59","< 50k","≥ 1 per 10K","rate","3",121.7,289.6,279.2,3490.2,0.1,345,0,43,0.2,4.6,-0.7,-0.4,-0.7,0.5,0.3,-1
"60","[50k, 500k)","≥ 2 weekly","case","1",172.8,429.8,1.1,2.7,0.1,1980,0,278,0,6.5,-0.8,-0.8,-0.9,0.7,0.8,-1
"61","[50k, 500k)","≥ 5 total","cum case","1",132.2,360.3,0.8,2.3,0.1,3230,0,278,-3.4,9.1,-1.2,-1.1,-1.2,0.7,1.8,-1
"62","< 50k","≥ 2 weekly","case","1",127.2,303.7,286.4,3556.7,0.1,332,0,43,0.8,2.6,-0.6,-0.4,-0.7,0.5,0.1,-1.1
"63","< 50k","3-week","trend","6",112.7,271.2,237.5,3076.6,0.1,460,0,43,-0.3,4.8,-0.8,-0.5,-0.7,0.5,0.4,-1.1
"64","< 50k","≥ 500 total","cum case","6",409.2,513.4,37.3,78.3,0.4,10,0.8,43,3.8,3.6,1.6,-1.2,1.1,-1.9,-1,-1.4
"65","≥ 500k","1-week","trend","2",584.5,1645,0.4,1.3,0.2,1274,0,207,-6.3,9.2,-1.4,-0.9,-1.6,0.8,1.7,-1.4
"66","[50k, 500k)","3-week","trend","6",168.4,421.5,1.1,2.5,0.1,2311,0,278,1.3,3.8,-0.9,-0.8,-0.9,0.7,0.4,-1.5
"67","[50k, 500k)","1-week","trend","2",104.3,321.8,0.6,2,0.1,5213,0,278,-4.4,11.4,-1.5,-1.3,-1.5,0.7,2.1,-1.5
"68","≥ 500k","3-week","trend","6",869.4,1941.8,0.5,1.4,0.3,756,0,207,0.2,5.1,-0.9,-0.8,-1,0.8,0.4,-1.5
"69","[50k, 500k)","2-week","trend","4",134.7,362.4,0.8,2.2,0.1,3547,0,278,-1.3,5.2,-1.2,-1.1,-1.2,0.7,1.2,-1.6
"70","≥ 500k","2-week","trend","4",714,1790.8,0.4,1.3,0.3,977,0,207,-2.6,6.5,-1.2,-0.9,-1.3,0.8,0.9,-1.7
"71","< 50k","≥ 250 weekly","case","7",222.5,314.7,6.6,9.4,0.5,2,1,43,2,8.5,0.1,-1.3,1.7,-2.4,-0.4,-2.3
"72","[50k, 500k)","≥ 250 weekly","case","7",235,302.9,1,1.2,0.3,16,1,278,7.9,3.8,-0.2,-0.8,0.6,-2,-1.6,-4
