country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
SDN,1-week,trend,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
TGO,1-week,trend,2,0.5,0,0,NA,NA,2.3,2.3,NA,NA,NA,NA
ZMB,1-week,trend,2,9.1,0.1,0,NA,NA,-0.9,-0.8,NA,NA,NA,NA
ZWE,1-week,trend,2,20.7,0.3,0,0,0,-1.9,-1.7,NA,0.3,1.6,NA
AGO,2-week,trend,4,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
BEN,2-week,trend,4,15,0.2,0,0,2,-0.3,-0.4,NA,0.6,1.2,NA
BFA,2-week,trend,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CIV,2-week,trend,4,33.3,0.2,0,NA,NA,0.1,0.1,NA,NA,NA,NA
COG,2-week,trend,4,1.5,0,0,NA,NA,0.4,0.4,NA,NA,NA,NA
LBR,2-week,trend,4,10.4,0.1,0,NA,NA,-0.7,-0.5,NA,NA,NA,NA
MLI,2-week,trend,4,12,0,0,NA,NA,1.2,1.2,NA,NA,NA,NA
MRT,2-week,trend,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NAM,2-week,trend,4,28,0.5,0,NA,NA,0.7,0.7,NA,NA,NA,NA
SDN,2-week,trend,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
TGO,2-week,trend,4,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
ZMB,2-week,trend,4,7.5,0,0,NA,NA,-1.1,-1.1,NA,NA,NA,NA
ZWE,2-week,trend,4,35.9,0.5,0,0,1,-1,-1,NA,0.3,0.5,NA
BEN,3-week,trend,6,15.4,0.2,0,0,3,-0.3,-0.3,NA,0.6,0.5,NA
BFA,3-week,trend,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CIV,3-week,trend,6,24,0.2,0,NA,NA,-0.3,-0.3,NA,NA,NA,NA
COG,3-week,trend,6,0,0,0,NA,NA,-1,-1,NA,NA,NA,NA
LBR,3-week,trend,6,10.9,0.1,0,NA,NA,-0.6,-0.7,NA,NA,NA,NA
MLI,3-week,trend,6,9,0,0,NA,NA,0.5,0.3,NA,NA,NA,NA
NAM,3-week,trend,6,26,0.5,0,NA,NA,0.4,0.4,NA,NA,NA,NA
TGO,3-week,trend,6,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
ZMB,3-week,trend,6,14.7,0.1,0,NA,NA,-0.6,-0.6,NA,NA,NA,NA
ZWE,3-week,trend,6,38.6,0.5,0,0,2,-0.9,-0.9,NA,0.3,-0.7,NA
AGO,≥ 2 weekly,case,1,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
