country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
COG,≥ 5 total,cum case,1,103.2,3.3,0,NA,NA,1,1,NA,NA,NA,NA
GNB,≥ 5 total,cum case,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MLI,≥ 5 total,cum case,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,≥ 5 total,cum case,1,0,0,0,NA,NA,-0.5,-0.5,NA,NA,NA,NA
MWI,≥ 5 total,cum case,1,1.2,0,0,NA,NA,-0.4,-0.3,NA,NA,NA,NA
RWA,≥ 5 total,cum case,1,23.8,0.9,0,NA,NA,1,1,NA,NA,NA,NA
SOM,≥ 5 total,cum case,1,87.5,2.1,0,NA,NA,1,1,NA,NA,NA,NA
TZA,≥ 5 total,cum case,1,2,0,0,NA,NA,1.7,1.7,NA,NA,NA,NA
UGA,≥ 5 total,cum case,1,19,0.5,0,NA,NA,1.5,1.5,NA,NA,NA,NA
ZWE,≥ 5 total,cum case,1,78.5,4.9,0,NA,NA,-0.1,-0.1,NA,NA,NA,NA
BEN,≥ 10 total,cum case,2,0.5,0,0,NA,NA,-0.3,-0.3,NA,NA,NA,NA
CAF,≥ 10 total,cum case,2,29,1.1,0,NA,NA,1.4,1.4,NA,NA,NA,NA
COG,≥ 10 total,cum case,2,95,3.1,0,NA,NA,0.7,0.7,NA,NA,NA,NA
GNB,≥ 10 total,cum case,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MLI,≥ 10 total,cum case,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,≥ 10 total,cum case,2,0,0,0,NA,NA,-0.5,-0.5,NA,NA,NA,NA
MWI,≥ 10 total,cum case,2,1.1,0,0,NA,NA,-0.5,-0.5,NA,NA,NA,NA
RWA,≥ 10 total,cum case,2,14,0.5,0,NA,NA,0.1,0.1,NA,NA,NA,NA
SOM,≥ 10 total,cum case,2,87.5,2.1,0,NA,NA,1,1,NA,NA,NA,NA
TZA,≥ 10 total,cum case,2,2,0,0,NA,NA,1.7,1.7,NA,NA,NA,NA
UGA,≥ 10 total,cum case,2,10.3,0.3,0,NA,NA,0.5,0.5,NA,NA,NA,NA
ZWE,≥ 10 total,cum case,2,154,9.5,0,NA,NA,1.9,1.9,NA,NA,NA,NA
BEN,≥ 25 total,cum case,3,0.5,0,0,NA,NA,-0.3,-0.3,NA,NA,NA,NA
CAF,≥ 25 total,cum case,3,29,1.1,0,NA,NA,1.4,1.4,NA,NA,NA,NA
COG,≥ 25 total,cum case,3,74.5,2.3,0,NA,NA,-0.1,-0.1,NA,NA,NA,NA
MOZ,≥ 25 total,cum case,3,0,0,0,NA,NA,-0.5,-0.5,NA,NA,NA,NA
MWI,≥ 25 total,cum case,3,4,0.1,0,NA,NA,1.6,1.4,NA,NA,NA,NA
RWA,≥ 25 total,cum case,3,0,0,0,NA,NA,-1.4,-1.4,NA,NA,NA,NA
SOM,≥ 25 total,cum case,3,175,4.1,0,NA,NA,2.7,2.7,NA,NA,NA,NA
TZA,≥ 25 total,cum case,3,1,0,0,NA,NA,0.1,0.1,NA,NA,NA,NA
UGA,≥ 25 total,cum case,3,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
ZWE,≥ 25 total,cum case,3,154,9.5,0,NA,NA,1.9,1.9,NA,NA,NA,NA
BEN,≥ 50 total,cum case,4,0,0,0,NA,NA,-2,-2,NA,NA,NA,NA
CAF,≥ 50 total,cum case,4,26,1,0,NA,NA,0.6,0.6,NA,NA,NA,NA
COG,≥ 50 total,cum case,4,84,2.6,0,NA,NA,0.3,0.2,NA,NA,NA,NA
MWI,≥ 50 total,cum case,4,2,0.1,0,NA,NA,0.2,0.1,NA,NA,NA,NA
