country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
ZWE,≥ 5 weekly,case,2,2518.6,1.1,0.5,0,3,1.3,1.3,1,NA,-0.7,NA
AGO,≥ 10 weekly,case,3,70.5,0.1,0,NA,NA,-0.4,-0.4,-0.5,NA,NA,NA
BEN,≥ 10 weekly,case,3,0.3,0,0,NA,NA,-1.1,-1.3,NA,NA,NA,NA
CAF,≥ 10 weekly,case,3,2,0,0,NA,NA,-1.2,-1.2,NA,NA,NA,NA
ZWE,≥ 10 weekly,case,3,4282.1,1.8,0.5,0,3,2.8,2.8,1,NA,-0.7,NA
AGO,≥ 25 weekly,case,4,129,0.1,0,NA,NA,0.4,0.4,-0.5,NA,NA,NA
BEN,≥ 25 weekly,case,4,0.3,0,0,NA,NA,-1.1,-1.3,NA,NA,NA,NA
ZWE,≥ 25 weekly,case,4,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
AGO,≥ 50 weekly,case,5,129,0.1,0,NA,NA,0.4,0.4,-0.5,NA,NA,NA
ZWE,≥ 50 weekly,case,5,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
UGA,≥ 100 weekly,case,6,127.5,0.2,0,1,NA,1.1,1.1,-0.5,-1.4,NA,NA
ZWE,≥ 100 weekly,case,6,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
UGA,≥ 250 weekly,case,7,127.5,0.2,0,1,NA,1.1,1.1,-0.5,-1.4,NA,NA
ZWE,≥ 250 weekly,case,7,88,0,0,0,3,-0.7,-0.7,-1,NA,-0.7,NA
AGO,≥ 5 total,cum case,1,72.4,0.1,0.1,NA,NA,-0.4,-0.4,0.2,NA,NA,NA
BDI,≥ 5 total,cum case,1,1.5,0,0,NA,NA,-0.5,-0.7,NA,NA,NA,NA
BEN,≥ 5 total,cum case,1,33.1,0,0,NA,NA,1.3,1,NA,NA,NA,NA
CAF,≥ 5 total,cum case,1,28.5,0,0,NA,NA,1.5,1.5,NA,NA,NA,NA
CIV,≥ 5 total,cum case,1,19,0,0,NA,NA,0.1,0,NA,NA,NA,NA
LBR,≥ 5 total,cum case,1,11.3,0,0,NA,NA,-0.6,-0.7,NA,NA,NA,NA
